Model,Accuracy,Precision,Recall,F1 Score
Isolation Forest,0.997042921692055,0.17781690140845072,0.2135306553911205,0.19404418828049952
AutoEncoder,0.989694282512001,0.1188180404354588,0.8076109936575053,0.20715835140997832
